"ID","AUTH_ID","NAME","FEATURE","CATEGORY","GROUP","LATITUDE","LONGITUDE","AUTHORITY","SUPPLY_DATE","geom"
"VIC_17674","17674","MOREA","PARISH","ADMINISTRATIVE AREA","ADMINISTRATION","-36.79819","141.28708","VIC","2020-03-05 22:16:40","0101000020BB100000BE6A65C22FA9614043FF04172B6642C0"
"VIC_19023","19023","MURRANDARRA","PARISH","ADMINISTRATIVE AREA","ADMINISTRATION","-37.03014","141.12597","VIC","2020-03-05 22:16:40","0101000020BB100000DEC83CF207A461409626A5A0DB8342C0"
"VIC_16610","16610","MEEREEK","NEIGHBOURHOOD","POPULATED PLACE","ADMINISTRATION","-37.08597","141.11486","VIC","2020-03-05 22:16:40","0101000020BB100000CBF3E0EEACA36140F437A110018B42C0"
"VIC_16611","16611","MEEREEK","PARISH","ADMINISTRATIVE AREA","ADMINISTRATION","-37.11486","141.11708","VIC","2020-03-05 22:16:40","0101000020BB10000080608E1EBFA361402DCF83BBB38E42C0"
"VIC_15887","15887","MAGEPPA","PARISH","ADMINISTRATIVE AREA","ADMINISTRATION","-37.19319","141.09819","VIC","2020-03-05 22:16:40","0101000020BB1000006AD95A5F24A3614006F52D73BA9842C0"
"VIC_15919","15919","MAHRONG","PARISH","ADMINISTRATIVE AREA","ADMINISTRATION","-36.09236","141.20236","VIC","2020-03-05 22:16:40","0101000020BB10000098C0ADBB79A66140B2BAD573D20B42C0"
"VIC_17161","17161","MIRAM SOUTH","NEIGHBOURHOOD","POPULATED PLACE","ADMINISTRATION","-36.44375","141.36625","VIC","2020-03-05 22:16:40","0101000020BB1000001F85EB51B8AB6140CDCCCCCCCC3842C0"
"VIC_17162","17162","MIRAMPIRAM","PARISH","ADMINISTRATIVE AREA","ADMINISTRATION","-36.27875","141.33431","VIC","2020-03-05 22:16:40","0101000020BB1000003997E2AAB2AA614048E17A14AE2342C0"
"VIC_123218","123218","DERGHOLM (RECREATION RESERVE SOUTH WEST CORNER OF OVAL) NSP","NEIGHBOURHOOD SAFER PLACE","EMERGENCY","SOCIETY","-37.37279","141.21545","VIC","2020-03-05 22:16:40","0101000020BB1000008BFD65F7E4A661404F232D95B7AF42C0"
"VIC_23362","23362","SAINT EVINS","NEIGHBOURHOOD","POPULATED PLACE","ADMINISTRATION","-37.10569","141.68792","VIC","2020-03-05 22:16:40","0101000020BB10000075C8CD7003B66140D3C1FA3F878D42C0"
